id,user_id,cryptocurrency,amount,transaction_type,status,timestamp
afab099f-d67e-4c20-a60e-aa25a0339341,3280,XRP,3386.23,Deposit,Completed,"2025-01-28 10:52:01"
b2dbc16d-fe31-4947-96a2-1eedfb0bf08e,1676,USDT,3380.36,Deposit,Completed,"2025-02-07 03:46:30"
b34ef5f8-bb14-48a6-84d7-84269a4f192d,1744,XRP,1916.34,Deposit,Completed,"2025-01-20 11:37:26"
b37aafca-c6a3-4447-897d-e8faa9045f73,2510,BTC,2662.78,Deposit,Completed,"2025-01-27 04:38:18"
b484621c-32c2-424f-9b58-126e348fc4ef,1041,ETH,329.47,Deposit,Completed,"2025-01-23 23:11:17"
b7ab5a54-a527-425e-804e-aadeddcd8fef,1007,XRP,4037.16,Withdrawal,Completed,"2025-02-06 22:30:32"
b8c5dfc1-e720-45c2-9f55-6e0ca1632ce6,2660,BTC,3517.81,Deposit,Completed,"2025-01-19 05:19:29"
c0c7084f-7bee-4dcd-ac5c-13a218eb9fd2,1232,ETH,2853.51,Withdrawal,Completed,"2025-01-26 10:33:46"
c1a8ba9a-5602-46a0-a3a5-ffb6265eaa41,4573,USDT,4734.15,Withdrawal,Pending,"2025-01-09 19:10:19"
c4806f23-b377-4f21-89d7-648e0f4dd27a,4479,ETH,4077.01,Deposit,Completed,"2025-01-15 14:42:34"
c6ba9341-95ca-4ea6-b98e-1a90848ecb33,1328,XRP,2951.32,Deposit,Pending,"2025-01-24 15:28:48"
c792f73f-a40e-4e1a-8b0d-239ec7da8dd0,4617,USDT,423.77,Deposit,Completed,"2025-01-17 03:46:03"
cc5badb7-857b-4f4e-8a53-2c4ddc0ab71c,3725,USDT,2435.41,Withdrawal,Completed,"2025-01-25 12:29:28"
cc9b22bb-24d4-47c9-b88a-fd262641217e,4249,XRP,4426.57,Deposit,Completed,"2025-01-30 05:26:33"
cd246e6f-f028-4380-8e3d-71a04faf0ef5,2474,ETH,4181.94,Deposit,Completed,"2025-02-04 18:34:17"
ce5e0b2e-3aa9-4251-ae49-755d0dc0c5e3,3020,BNB,3648.25,Deposit,Completed,"2025-02-02 12:23:25"
d3c1aae2-87ac-4e48-8eeb-8934be912eaf,3309,USDT,3704.82,Deposit,Completed,"2025-01-28 07:44:07"
d6e477c2-2664-4b97-b33c-39db940680a1,3489,ETH,32.37,Deposit,Completed,"2025-02-05 23:55:06"
dba4b7b3-daf2-4a63-8002-39b74be21c06,4546,BNB,2285.03,Withdrawal,Completed,"2025-01-26 14:23:19"
dbd75158-ddcc-44eb-ae86-763a43b24740,1379,BNB,3066.35,Deposit,Completed,"2025-01-19 23:36:34"
dbe1515b-9c4c-419a-9dc2-a46dcd57a719,3201,ETH,2605.05,Deposit,Completed,"2025-02-02 23:13:25"
dc63c985-607a-4735-aeca-9df10cda91ee,4379,BTC,3176.75,Withdrawal,Completed,"2025-01-18 14:50:10"
dec842ef-c952-498a-aa2b-a8a633c335c4,4922,BTC,2673.66,Withdrawal,Pending,"2025-01-18 18:38:55"
dfb5aac9-f072-4476-aac0-dccd0763f1ba,3661,ETH,4383.38,Deposit,Completed,"2025-02-03 15:27:49"
e3a7f359-a4df-49d1-9cf6-d922c4d626ab,3507,XRP,4283.52,Deposit,Pending,"2025-02-06 22:28:15"
ec28498c-b62f-4770-840e-318055832b7c,2796,USDT,2351.73,Withdrawal,Completed,"2025-01-21 17:43:58"
f2ce3557-0ac4-4d46-bf73-83a3bf674447,3978,BTC,1924.38,Deposit,Completed,"2025-02-02 13:46:12"
f6365a79-8858-4dc7-9ffa-8231a8c97698,1648,BNB,468.08,Deposit,Duplicate,"2025-01-17 07:30:33"
f7b71a69-f7cc-4b9b-b6d1-15a2c86a84fe,3536,USDT,3631.62,Withdrawal,Completed,"2025-02-02 04:54:32"
fb5af4cb-7553-4a45-b8af-4ae5e35eba5e,4245,BTC,1578.88,Withdrawal,Pending,"2025-01-23 14:44:38"
fd049375-67f1-48c4-b45a-a86adc1a774e,4711,ETH,4749.21,Withdrawal,Completed,"2025-02-04 22:54:42"
ffef07b0-d72a-4b91-8a7f-0f27f3f123a5,2906,BTC,2607.83,Deposit,Pending,"2025-01-22 19:35:50"
